INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,CharClassAbility,CharClassAbility,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
DeathgoyleID,NSlashAText,NSlashAText,0x64,0x0,DeathgoyleSMS,0x00,1,0x64,16,1,1,1,1,1,11,BaseMov+3,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
DracoZombieID,NSlashAText,NSlashAText,0x65,0x0,DracoZombieSMS,0x00,1,0x65,16,1,1,1,1,1,0,1,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
DemonKingID,NSlashAText,NSlashAText,0x66,0x0,DemonKingSMS,0x00,1,0x66,16,1,1,1,1,1,25,1,35,15,20,15,15,15,25,5,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
lassID,NSlashAText,NSlashAText,0x67,0x0,lassSMS,0x00,1,0x67,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
picnickerID,NSlashAText,NSlashAText,0x68,0x0,picnickerSMS,0x00,1,0x68,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
policemanID,NSlashAText,NSlashAText,0x69,0x0,policemanSMS,0x00,1,0x69,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
prof_oakID,NSlashAText,NSlashAText,0x6A,0x0,prof_oakSMS,0x00,1,0x6A,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
rockerID,NSlashAText,NSlashAText,0x6B,0x0,rockerSMS,0x00,1,0x6B,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
rocket_fID,NSlashAText,NSlashAText,0x6C,0x0,rocket_fSMS,0x00,1,0x6C,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,0,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
rocket_mID,NSlashAText,NSlashAText,0x6D,0x0,rocket_mSMS,0x00,1,0x6D,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
sailorID,NSlashAText,NSlashAText,0x6E,0x0,sailorSMS,0x00,1,0x6E,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
scientistID,NSlashAText,NSlashAText,0x6F,0x0,scientistSMS,0x00,1,0x6F,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
super_nerdID,NSlashAText,NSlashAText,0x70,0x0,super_nerdSMS,0x00,1,0x70,16,1,1,1,1,1,25,TrainerMov,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BurrowID,NSlashAText,NSlashAText,0x71,0x0,BurrowSMS,0x00,1,0x71,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
FlowerID,NSlashAText,NSlashAText,0x72,0x0,FlowerSMS,0x00,1,0x72,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BerryTreeID,NSlashAText,NSlashAText,0x73,0x0,BerryTreeSMS,0x00,1,0x73,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
sfxID,NSlashAText,NSlashAText,0x74,0x0,sfxSMS,0x00,1,0x74,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
OpenBallID,NSlashAText,NSlashAText,0x75,0x0,OpenBallSMS,0x00,1,0x75,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
RedPokeballID,NSlashAText,NSlashAText,0x76,0x0,RedPokeballSMS,0x00,1,0x76,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
GoldPokeballID,NSlashAText,NSlashAText,0x77,0x0,GoldPokeballSMS,0x00,1,0x77,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
GaryID,NSlashAText,NSlashAText,0x78,0x0,GarySMS,0x00,1,0x78,16,1,1,1,1,1,25,TrainerMov+2,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
PlatformID,NSlashAText,NSlashAText,0x79,0x0,PlatformSMS,0x00,1,0x79,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BlankID,NSlashAText,NSlashAText,0x7A,0x0,BlankSMS,0x00,1,0x7A,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
SavePointID,NSlashAText,NSlashAText,0x7B,0x0,SavePointSMS,0x00,1,0x7B,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,1,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
BushID,NSlashAText,NSlashAText,0x7C,0x0,BushSMS,0x00,1,0x7C,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x800
SignID,NSlashAText,NSlashAText,0x7D,0x0,SignSMS,0x00,1,0x7D,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
Sign2ID,NSlashAText,NSlashAText,0x7E,0x0,Sign2SMS,0x00,1,0x7E,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
CoinsID,NSlashAText,NSlashAText,0x7F,0x0,CoinsSMS,0x00,1,0x7F,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,5,45,5,25,15,10,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,0x00,0x00,0x00,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
MukID,MukNameText,EkansDescText,0x80,0x0,MukSMS,0x00,0x59,0x80,26,14,9,3,5,7,12,BaseMov+2,75,50,50,30,40,45,25,4,85,60,50,20,45,50,20,3,6,4,2,4,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim89|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
ShellderID,ShellderNameText,DewgongDescText,0x81,0x0,ShellderSMS,0x00,0x5A,0x81,17,6,4,2,4,1,7,BaseMov+1,45,35,35,30,35,15,25,3,50,40,35,25,40,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim90|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
CloysterID,CloysterNameText,DewgongDescText,0x82,0x0,CloysterSMS,0x00,0x5B,0x82,21,10,8,4,12,2,13,BaseMov+2,60,45,50,40,60,20,25,4,65,55,50,25,60,25,20,4,4,4,2,8,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim91|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x1002
GastlyID,GastlyNameText,GastlyDescText,0x83,0x0,GastlySMS,0x00,0x5C,0x83,18,2,3,4,0,1,1,BaseMov+1,50,20,30,35,10,20,25,3,55,15,35,45,10,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim92|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0110
HaunterID,HaunterNameText,GastlyDescText,0x84,0x0,HaunterSMS,0x00,0x5D,0x84,21,5,5,6,1,3,7,BaseMov+2,60,35,40,40,15,30,25,4,70,35,40,45,20,30,20,3,3,2,2,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim93|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0110
GengarID,GengarNameText,GastlyDescText,0x85,0x0,GengarSMS,0x00,0x5E,0x85,24,8,8,9,2,5,11,BaseMov+2,65,45,50,50,25,40,25,5,75,50,50,55,30,45,20,3,3,3,3,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim94|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0110
OnixID,OnixNameText,GeodudeDescText,0x86,0x0,OnixSMS,0x00,0x5F,0x86,21,9,6,6,8,1,22,BaseMov+2,60,45,40,40,50,10,25,4,65,50,40,45,55,15,20,0,1,0,0,6,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim95|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
DrowzeeID,DrowzeeNameText,AbraDescText,0x87,0x0,DrowzeeSMS,0x00,0x60,0x87,21,5,5,3,2,5,8,BaseMov+1,60,35,40,35,25,40,25,3,70,35,40,25,25,45,20,0,0,0,0,0,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim96|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
HypnoID,HypnoNameText,AbraDescText,0x88,0x0,HypnoSMS,0x00,0x61,0x88,28,8,9,5,3,9,10,BaseMov+2,75,40,50,45,30,50,25,4,90,50,55,30,35,60,20,7,3,4,2,1,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim97|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
KrabbyID,KrabbyNameText,SquirtleDescText,0x89,0x0,KrabbySMS,0x00,0x62,0x89,17,8,4,3,5,1,5,BaseMov+1,45,40,35,35,35,15,25,3,50,45,40,30,45,15,20,0,0,0,0,2,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim98|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
KinglerID,KinglerNameText,SquirtleDescText,0x8A,0x0,KinglerSMS,0x00,0x63,0x8A,23,16,8,5,7,2,12,BaseMov+2,65,50,45,40,45,25,25,4,70,60,50,30,50,30,20,6,8,4,2,2,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim99|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
VoltorbID,VoltorbNameText,PikachuDescText,0x8B,0x0,VoltorbSMS,0x00,160,0x8B,19,2,5,8,2,2,3,BaseMov+1,50,15,40,55,20,25,25,3,55,20,40,55,20,30,20,0,0,0,3,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim100|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x04
ElectrodeID,ElectrodeNameText,PikachuDescText,0x8C,0x0,ElectrodeSMS,0x00,161,0x8C,21,3,7,12,3,5,8,BaseMov+2,60,20,50,60,25,40,25,4,65,25,45,60,35,45,20,2,1,2,4,1,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim101|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x04
ExeggcuteID,ExeggcuteNameText,ExeggcuteDescText,0x8D,0x0,ExeggcuteSMS,0x00,162,0x8D,19,4,4,1,3,2,4,BaseMov+1,50,35,35,20,35,25,25,3,60,30,35,15,35,20,20,0,1,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim102|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4800
ExeggutorID,ExeggutorNameText,ExeggcuteDescText,0x8E,0x0,ExeggutorSMS,0x00,163,0x8E,28,10,9,2,6,5,21,BaseMov+2,75,50,50,25,45,40,25,4,90,55,50,15,50,45,20,9,6,5,1,3,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim103|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4800
CuboneID,CuboneNameText,SandshrewDescText,0x8F,0x0,CuboneSMS,0x00,164,0x8F,19,6,4,3,4,1,7,BaseMov+1,55,35,35,35,35,20,25,3,60,40,40,30,45,20,20,0,0,0,1,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim104|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
MarowakID,MarowakNameText,SandshrewDescText,0x90,0x0,MarowakSMS,0x00,0x69,0x90,21,9,7,4,7,4,11,BaseMov+2,60,45,45,35,45,35,25,4,65,50,45,30,55,40,20,2,3,3,1,3,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim105|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
HitmonleeID,HitmonleeNameText,MankeyDescText,0x91,0x0,HitmonleeSMS,0x00,0x6A,0x91,21,13,8,6,2,8,12,BaseMov+2,60,50,45,45,25,45,25,4,65,55,50,45,25,55,20,0,4,1,2,0,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim106|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
HitmonchanID,HitmonchanNameText,MankeyDescText,0x92,0x0,HitmonchanSMS,0x00,0x6B,0x92,21,11,8,6,4,7,12,BaseMov+2,60,45,45,45,40,45,25,4,65,55,50,40,40,55,20,0,0,0,0,2,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim107|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
LickitungID,LickitungNameText,RattataDescText,0x93,0x0,LickitungSMS,0x00,0x6C,0x93,26,13,9,4,7,7,13,BaseMov+2,75,50,50,35,50,50,25,4,85,60,55,25,55,55,20,5,2,1,0,3,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim108|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
KoffingID,KoffingNameText,EkansDescText,0x94,0x0,KoffingSMS,0x00,0x6D,0x94,19,8,5,1,6,2,3,BaseMov+1,50,40,40,15,40,25,25,3,55,45,45,10,50,30,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim109|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x10
WeezingID,WeezingNameText,EkansDescText,0x95,0x0,WeezingSMS,0x00,0x6E,0x95,24,13,9,3,10,4,11,BaseMov+2,65,50,50,25,50,35,25,4,75,60,50,15,60,40,20,5,5,4,2,4,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim110|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x10
RhyhornID,RhyhornNameText,GeodudeDescText,0x96,0x0,RhyhornSMS,0x00,0x6F,0x96,23,9,5,1,6,1,10,BaseMov+1,60,45,40,20,45,20,25,3,75,50,40,10,50,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim111|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
RhydonID,RhydonNameText,GeodudeDescText,0x97,0x0,RhydonSMS,0x00,0x70,0x97,28,15,8,2,10,2,21,BaseMov+2,75,55,45,20,50,20,25,4,95,60,50,15,55,25,20,5,6,3,1,4,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim112|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
